"date","speaking","pitch","energy","nodding"
Date(2016,02,03,00,01,33,00);0;0.00000;0.00000
Date(2016,02,03,00,01,34,00);0;0.00000;0.00000
Date(2016,02,03,00,01,35,00);0;0.00000;0.00000
Date(2016,02,03,00,01,36,00);0;0.00000;0.00000
Date(2016,02,03,00,01,37,00);0;0.00000;0.00000
Date(2016,02,03,00,01,38,00);0;0.00000;0.00000
Date(2016,02,03,00,01,39,00);0;0.00000;0.00000
Date(2016,02,03,00,01,40,00);0;0.00000;0.00000
Date(2016,02,03,00,01,41,00);0;0.00000;0.00000
Date(2016,02,03,00,01,42,00);0;0.00000;0.00000
Date(2016,02,03,00,01,43,00);0;0.00000;0.00000
Date(2016,02,03,00,01,44,00);1;213.24955;0.00444
Date(2016,02,03,00,01,45,00);1;228.95299;0.00695
Date(2016,02,03,00,01,46,00);1;224.30299;0.00479
Date(2016,02,03,00,01,47,00);1;249.47110;0.00137
Date(2016,02,03,00,01,48,00);1;207.27355;0.00414
Date(2016,02,03,00,01,49,00);1;200.13439;0.00343
Date(2016,02,03,00,01,50,00);1;216.52058;0.00089
Date(2016,02,03,00,01,51,00);1;223.86061;0.00393
Date(2016,02,03,00,01,52,00);1;207.21766;0.00461
Date(2016,02,03,00,01,53,00);1;216.47640;0.00262
Date(2016,02,03,00,01,54,00);1;202.25432;0.00226
Date(2016,02,03,00,01,55,00);1;208.20416;0.00491
Date(2016,02,03,00,01,56,00);1;211.29104;0.00667
Date(2016,02,03,00,01,57,00);1;199.79143;0.00221
Date(2016,02,03,00,01,58,00);1;212.01753;0.00322
Date(2016,02,03,00,01,59,00);1;220.68404;0.00153
Date(2016,02,03,00,02,00,00);1;197.50947;0.00430
Date(2016,02,03,00,02,01,00);1;218.33701;0.00379
Date(2016,02,03,00,02,02,00);1;219.34404;0.00324
Date(2016,02,03,00,02,03,00);1;211.08532;0.00297
Date(2016,02,03,00,02,04,00);1;211.32962;0.00110
Date(2016,02,03,00,02,05,00);1;223.10823;0.00496
Date(2016,02,03,00,02,06,00);1;214.25162;0.00117
Date(2016,02,03,00,02,07,00);1;200.91532;0.00249
Date(2016,02,03,00,02,08,00);1;208.65079;0.00166
Date(2016,02,03,00,02,09,00);1;214.35455;0.00888
Date(2016,02,03,00,02,10,00);1;201.27549;0.00100
Date(2016,02,03,00,02,11,00);1;171.97326;0.00007
Date(2016,02,03,00,02,12,00);0;0.00000;0.00000
Date(2016,02,03,00,02,13,00);0;0.00000;0.00000
Date(2016,02,03,00,02,14,00);0;0.00000;0.00000
Date(2016,02,03,00,02,15,00);0;0.00000;0.00000
Date(2016,02,03,00,02,16,00);0;0.00000;0.00000
Date(2016,02,03,00,02,17,00);0;0.00000;0.00000
Date(2016,02,03,00,02,18,00);0;0.00000;0.00000
Date(2016,02,03,00,02,19,00);0;0.00000;0.00000
Date(2016,02,03,00,02,20,00);0;0.00000;0.00000
Date(2016,02,03,00,02,21,00);0;0.00000;0.00000
Date(2016,02,03,00,02,22,00);0;0.00000;0.00000
Date(2016,02,03,00,02,23,00);0;0.00000;0.00000
Date(2016,02,03,00,02,24,00);0;0.00000;0.00000
Date(2016,02,03,00,02,25,00);0;0.00000;0.00000
Date(2016,02,03,00,02,26,00);0;0.00000;0.00000
Date(2016,02,03,00,02,27,00);0;0.00000;0.00000
Date(2016,02,03,00,02,28,00);0;0.00000;0.00000
Date(2016,02,03,00,02,29,00);0;0.00000;0.00000
Date(2016,02,03,00,02,30,00);0;0.00000;0.00000
Date(2016,02,03,00,02,31,00);0;0.00000;0.00000
Date(2016,02,03,00,02,32,00);0;0.00000;0.00000
Date(2016,02,03,00,02,33,00);0;0.00000;0.00000
Date(2016,02,03,00,02,34,00);1;219.26351;0.00545
Date(2016,02,03,00,02,35,00);1;211.37312;0.00376
Date(2016,02,03,00,02,36,00);1;210.60208;0.00332
Date(2016,02,03,00,02,37,00);1;217.65804;0.00105
Date(2016,02,03,00,02,38,00);1;196.89765;0.00348
Date(2016,02,03,00,02,39,00);1;229.52364;0.00964
Date(2016,02,03,00,02,40,00);1;206.91753;0.00299
Date(2016,02,03,00,02,41,00);1;228.15935;0.00636
Date(2016,02,03,00,02,42,00);1;201.90726;0.00236
Date(2016,02,03,00,02,43,00);1;198.43052;0.00317
Date(2016,02,03,00,02,44,00);1;227.39623;0.00362
Date(2016,02,03,00,02,45,00);1;217.82940;0.00331
Date(2016,02,03,00,02,46,00);1;201.19714;0.00449
Date(2016,02,03,00,02,47,00);1;207.31234;0.00342
Date(2016,02,03,00,02,48,00);1;209.08931;0.00137
Date(2016,02,03,00,02,49,00);1;196.05792;0.00380
Date(2016,02,03,00,02,50,00);1;203.04390;0.00323
Date(2016,02,03,00,02,51,00);1;201.21481;0.00345
Date(2016,02,03,00,02,52,00);1;211.28351;0.00357
Date(2016,02,03,00,02,53,00);1;208.46086;0.00270
Date(2016,02,03,00,02,54,00);1;219.73857;0.00735
Date(2016,02,03,00,02,55,00);1;224.22873;0.00495
Date(2016,02,03,00,02,56,00);1;223.72221;0.00727
Date(2016,02,03,00,02,57,00);1;208.33847;0.00482
Date(2016,02,03,00,02,58,00);1;226.31299;0.00456
Date(2016,02,03,00,02,59,00);1;225.88831;0.00382
Date(2016,02,03,00,03,00,00);1;219.90347;0.00285
Date(2016,02,03,00,03,01,00);1;220.01919;0.00397
Date(2016,02,03,00,03,02,00);1;215.11299;0.00501
Date(2016,02,03,00,03,03,00);1;223.21990;0.00102
Date(2016,02,03,00,03,04,00);1;220.11466;0.00697
Date(2016,02,03,00,03,05,00);1;231.85870;0.00728
Date(2016,02,03,00,03,06,00);1;226.61903;0.00634
Date(2016,02,03,00,03,07,00);1;246.23965;0.00416
Date(2016,02,03,00,03,08,00);1;228.91996;0.00903
Date(2016,02,03,00,03,09,00);1;217.91610;0.00591
Date(2016,02,03,00,03,10,00);1;214.82286;0.00963
Date(2016,02,03,00,03,11,00);1;221.78609;0.00890
Date(2016,02,03,00,03,12,00);1;218.60647;0.00209
Date(2016,02,03,00,03,13,00);1;218.00206;0.00352
Date(2016,02,03,00,03,14,00);1;207.33469;0.00258
Date(2016,02,03,00,03,15,00);1;215.68814;0.00201
Date(2016,02,03,00,03,16,00);1;198.36908;0.00486
Date(2016,02,03,00,03,17,00);1;237.32481;0.00211
Date(2016,02,03,00,03,18,00);1;220.13805;0.00456
Date(2016,02,03,00,03,19,00);1;227.82714;0.00275
Date(2016,02,03,00,03,20,00);1;219.45623;0.00439
Date(2016,02,03,00,03,21,00);1;212.82961;0.00550
Date(2016,02,03,00,03,22,00);1;227.02266;0.00481
Date(2016,02,03,00,03,23,00);1;231.36117;0.00664
Date(2016,02,03,00,03,24,00);1;219.08960;0.00730
Date(2016,02,03,00,03,25,00);1;223.26470;0.00168
Date(2016,02,03,00,03,26,00);1;218.06256;0.00595
Date(2016,02,03,00,03,27,00);1;211.59792;0.00606
Date(2016,02,03,00,03,28,00);1;216.72626;0.00364
Date(2016,02,03,00,03,29,00);1;190.10601;0.00226
Date(2016,02,03,00,03,30,00);1;206.05096;0.00293
Date(2016,02,03,00,03,31,00);1;216.89614;0.00363
Date(2016,02,03,00,03,32,00);1;197.80695;0.00621
Date(2016,02,03,00,03,33,00);1;215.11403;0.00310
Date(2016,02,03,00,03,34,00);1;195.25388;0.00164
Date(2016,02,03,00,03,35,00);1;193.50042;0.00002
Date(2016,02,03,00,03,36,00);1;200.81082;0.00193
Date(2016,02,03,00,03,37,00);1;218.67834;0.00144
Date(2016,02,03,00,03,38,00);1;176.39030;0.00012
Date(2016,02,03,00,03,39,00);0;0.00000;0.00000
Date(2016,02,03,00,03,40,00);0;0.00000;0.00000
Date(2016,02,03,00,03,41,00);0;0.00000;0.00000
Date(2016,02,03,00,03,42,00);0;0.00000;0.00000
Date(2016,02,03,00,03,43,00);0;0.00000;0.00000
Date(2016,02,03,00,03,44,00);0;0.00000;0.00000
Date(2016,02,03,00,03,45,00);0;0.00000;0.00000
Date(2016,02,03,00,03,46,00);0;0.00000;0.00000
Date(2016,02,03,00,03,47,00);0;0.00000;0.00000
Date(2016,02,03,00,03,48,00);0;0.00000;0.00000
Date(2016,02,03,00,03,49,00);0;0.00000;0.00000
Date(2016,02,03,00,03,50,00);0;0.00000;0.00000
Date(2016,02,03,00,03,51,00);0;0.00000;0.00000
Date(2016,02,03,00,03,52,00);0;0.00000;0.00000
Date(2016,02,03,00,03,53,00);0;0.00000;0.00000
Date(2016,02,03,00,03,54,00);0;0.00000;0.00000
Date(2016,02,03,00,03,55,00);0;0.00000;0.00000
Date(2016,02,03,00,03,56,00);0;0.00000;0.00000
Date(2016,02,03,00,03,57,00);0;0.00000;0.00000
Date(2016,02,03,00,03,58,00);0;0.00000;0.00000
Date(2016,02,03,00,03,59,00);0;0.00000;0.00000
Date(2016,02,03,00,04,00,00);0;0.00000;0.00000
Date(2016,02,03,00,04,01,00);0;0.00000;0.00000
Date(2016,02,03,00,04,02,00);0;0.00000;0.00000
Date(2016,02,03,00,04,03,00);0;0.00000;0.00000
Date(2016,02,03,00,04,04,00);0;0.00000;0.00000
Date(2016,02,03,00,04,05,00);0;0.00000;0.00000
Date(2016,02,03,00,04,06,00);0;0.00000;0.00000
Date(2016,02,03,00,04,07,00);0;0.00000;0.00000
Date(2016,02,03,00,04,08,00);0;0.00000;0.00000
Date(2016,02,03,00,04,09,00);1;201.51401;0.00136
Date(2016,02,03,00,04,10,00);1;229.26817;0.00638
Date(2016,02,03,00,04,11,00);1;228.59503;0.00314
Date(2016,02,03,00,04,12,00);1;215.84170;0.00257
Date(2016,02,03,00,04,13,00);1;206.32703;0.00535
Date(2016,02,03,00,04,14,00);1;206.24936;0.00240
Date(2016,02,03,00,04,15,00);1;214.29144;0.00270
Date(2016,02,03,00,04,16,00);1;241.37681;0.00642
Date(2016,02,03,00,04,17,00);1;232.69740;0.00925
Date(2016,02,03,00,04,18,00);1;224.89519;0.00550
Date(2016,02,03,00,04,19,00);1;225.10401;0.00441
Date(2016,02,03,00,04,20,00);1;201.07214;0.00634
Date(2016,02,03,00,04,21,00);1;211.47636;0.00702
Date(2016,02,03,00,04,22,00);1;217.00913;0.00464
Date(2016,02,03,00,04,23,00);1;203.87601;0.00467
Date(2016,02,03,00,04,24,00);1;223.09377;0.00359
Date(2016,02,03,00,04,25,00);1;217.53264;0.00100
Date(2016,02,03,00,04,26,00);1;224.98555;0.00179
Date(2016,02,03,00,04,27,00);1;207.44513;0.00611
Date(2016,02,03,00,04,28,00);1;231.87545;0.00650
Date(2016,02,03,00,04,29,00);1;223.33649;0.00353
Date(2016,02,03,00,04,30,00);1;217.88455;0.00379
